,close
423,3212.7639
422,3351.909
421,3401.533
420,3545.3204
419,3703.6849
418,4017.8545
417,4256.0962
416,3955.9839
415,3997.7879
414,3887.167
413,3961.3424
412,3855.9949
411,3831.589
410,3788.2217
409,3925.234
408,3935.1974
407,3957.7755
406,3973.2089
405,3928.8334
404,3956.421
403,3964.1569
402,3924.649
401,3889.4487
400,3891.0396
399,3890.0203
398,3944.7619
397,4044.5725
396,4024.2831
395,4145.6952
394,4104.047
393,4131.1312
392,4085.743
391,4110.8901
390,4039.6191
389,3968.8308
388,3950.3806
387,3976.8912
386,3985.7727
385,3989.2979
384,3865.6989
383,3848.0909
382,3840.1847
381,3907.0447
380,3872.5505
379,3916.5832
378,3947.632
377,3951.8912
376,3930.5568
375,3921.5881
374,3973.1405
373,3966.5708
372,3995.6369
371,3988.8308
370,4028.5048
369,3933.1808
368,3911.8416
367,3922.0334
366,3941.89
365,3945.4635
364,3927.7441
363,3933.5718
362,3983.6882
361,3985.6291
360,3987.4801
359,3981.0307
358,3999.0549
357,3934.9109
356,3820.3952
355,3775.1648
354,3768.9697
353,3796.1055
352,3789.2153
351,3779.8773
350,3732.4806
349,3722.513
348,3820.5395
347,3796.026
346,3800.3836
345,3812.3429
344,3829.6764
343,3832.6145
342,3797.0166
341,3803.7439
340,3832.8637
339,3817.0802
338,3795.0848
337,3842.8314
336,3892.7028
335,3901.0618
334,3883.1352
333,3919.8617
332,3905.1398
331,3939.0085
330,3947.3983
329,3912.7829
328,3940.1602
327,3928.8959
326,3978.444
325,3969.7169
324,3925.6505
323,3959.9413
322,3968.1159
321,3890.0487
320,3888.4738
319,3885.2208
318,3902.5706
317,3956.2369
316,3944.0143
315,3928.8018
314,3941.4157
313,3927.2315
312,3911.5793
311,4006.5567
310,3996.7876
309,4007.7229
308,4010.168
307,3974.9918
306,3914.6956
305,3934.8486
304,3932.2951
303,3919.3566
302,3932.4117
301,3915.1662
300,3887.3056
299,3887.6841
298,3884.3858
297,3861.5034
296,3589.4406
295,3650.759
294,3686.7943
293,3735.1151
292,3750.5167
291,3759.1422
290,3761.2348
289,3772.8204
288,3772.2221
287,3772.523
286,3784.8806
285,3783.9522
284,3786.8824
283,3784.3574
282,3786.9937
281,3781.6188
280,3775.0767
279,3770.5705
278,3808.5424
277,3831.627
276,3852.8963
275,3846.1566
274,3890.6096
273,3896.2583
272,3943.2108
271,3907.1992
270,3889.0854
269,3877.1453
268,3898.1705
267,3916.3807
266,3913.8651
265,3882.2741
264,3860.1067
263,3839.3969
262,3836.2366
261,3858.6998
260,3840.2323
259,3852.0127
258,3868.7429
257,3877.5557
256,3873.9841
255,3885.2459
254,3865.4652
253,3894.6252
252,3892.1992
251,3864.1822
250,3873.7951
249,3870.3786
248,3874.9708
247,3843.0912
246,3846.6443
245,3857.9016
244,3904.0342
243,3960.0662
242,3946.0195
241,3921.7578
240,3936.0791
239,3942.762
238,3943.6849
237,3968.0676
236,3982.2034
235,3965.1746
234,3998.4527
233,3991.4006
232,4010.0243
231,4014.807
230,4017.6678
229,4019.0644
228,4007.2019
227,4034.491
226,4058.5486
225,4085.6072
224,4118.9582
223,4119.7685
222,4149.0368
221,4127.1634
220,4135.8242
219,4152.0247
218,4151.2379
217,4075.5912
216,4054.9286
215,4070.7023
214,4103.45
213,4113.4852
212,4114.666
211,4104.9669
210,4122.5106
209,4143.8252
208,4176.5776
207,4173.3131
206,4202.3533
205,4239.4125
204,4223.3741
203,4271.3958
202,4288.0707
201,4377.9977
200,4469.2217
199,4452.5905
198,4386.1266
197,4463.782
196,4496.7591
195,4523.7111
194,4490.4528
193,4459.8296
192,4365.2085
191,4460.3249
190,4467.5733
189,4436.2584
188,4445.3649
187,4548.0345
186,4521.998
185,4533.0557
184,4523.3367
183,4551.023
182,4498.109
181,4501.9195
180,4522.608
179,4519.7781
178,4566.0708
177,4593.4875
176,4550.0487
175,4620.0528
174,4640.6935
173,4709.482
172,4616.8341
171,4593.9785
170,4539.0644
169,4606.2879
168,4618.4218
167,4514.2345
166,4538.2201
165,4607.8715
